treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_XEL_MAG_MeleeDebuff_AttackDebuff1_OnDamage_ScaleMail",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CKM_SerpenScale_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_DevilsBlackmith_ScaleMail",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ChargedLightning_Electrocute_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_ScaleMail_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Githborn_MagicEating_HalfPlate",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Hide_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_HalfPlate_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_PHB_ElvenChain_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_DarkJusticiar_HalfPlate",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_ChainShirt_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Breastplate_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Late_Hide_Armor_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_FOR_OwlbearCubs_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Healer_DisengageOnHeal_ChainShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_ScaleMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Radiant_RadiatingOrb_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Breastplate_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Hide_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Magic_Hide_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_HalfPlate_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UND_Justiciar_Chainshirt_Magic",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_ChainShirt_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGame_StuddedLeather_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Bhaalist_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Spore_Magic_Leather_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Moon_Magic_Leather_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Land_Magic_Leather_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_StuddedLeather_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_StuddedLeather_Body_DrowCommander",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Harpers_ArmorOfShadows",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Shadow_StealthBonusWhileObscured_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Padded_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Leather_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_StuddedLeather_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Leather_1_Red",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Padded_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Leather_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Bard_TempHP_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LC_Umberlee_Regeneration_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_WYRM_UndeadProtector_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Selunite_Isobel_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Barbarian_BoneSpike_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ORI_Wyll_Infernal_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CharismaCaster_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGameCaster_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfArcanicDefense_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_SoulRejunevation_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Gortash_Cloth",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Viconia_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Frost_GenerateFrostOnDamage_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Orin_Cloth",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Barbarian_Magic_Armor_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BarbMonk_Offensive_Cloth",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Heat_Fire_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BarbMonk_Defensive_Cloth",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ChargedLightning_BonusAC_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Drunken_Cloth",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Magic_Armor_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfArcanicAssault_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LC_Lorroakan_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Magic_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CQCaster_GainArcaneChargeOnDamaged_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Violence_LowHP_Violence_Clothes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_RobeOfSummer",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_FOR_SpiderQueen_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_WYRM_OfBalduran_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Bhaalist_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_GleamingSorcery_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Barbarian_BoneSpike_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BonusAttack_AgainstMarked_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_DarkJusticiar_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_MeleeDebuff_AttackDebuff1_OnDamage_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Infernal_Metal_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LowHP_BonusAction_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGameCaster_Hood",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Hat_Barbarian_Hide",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LC_Jannath_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_SoulPerception_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Fire_BonusActionOnFireSpell_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_ARM_Sarevok_Horned_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Wildshape_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Violence_ViolenceOnDamaged_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Myrkulites_CircletOfMyrkul_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_CircletOfBlasting",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Illithid_Regen_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_CRE_MAG_Psychic_Githborn_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Gish_ArcaneSynergy_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BarbMonk_Cloth_Hat_A_1_Late",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Hat_Butler",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Mobility_MomentumOnCombatStart_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Magic_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfSharpCaster_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BarbMonk_Leather_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UND_ShadowOfMenzoberranzan",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Helmet_Human_Watcher",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Wizard_Pointy_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Lesser_Infernal_Metal_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_Druid_Helmet_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CQCaster_SpellDCBonusWhileThreatened_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Bard_HealingBardicInspiration_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Frost_GenerateFrostOnStatusApply_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Shadow_CriticalBoostWhileObscured_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Shar_Crown_B_Broken_Magic",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UND_Justiciar_Mask_Magic",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Fire_ArcaneAcuityOnFireDamage_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Thunder_ArcaneAcuityOnThunderDamage_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ElementalGish_ArcaneAcuity_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UND_FairyRing_AntiCharmHelmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Paladin_SmiteSpellsSupport_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Radiant_Radiating_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ChargedLightning_TempHP_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ofMarksmanship_Hat",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Shadow_SpellDCBonusWhileObscured_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Healer_HealSelf_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_FOR_OgresForHire_HeadbandOfIntellect",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_PHB_OfSoulCatching_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfRevivify_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Arcanist_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Warlock_Quickened_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BG_OfTheMasters_Legacy_Gauntlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Githborn_MageHandSupport_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Infernal_Metal_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BG_OfDexterity_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Warlock_Twinned_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfWarMaster_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Gortash_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_ARM_OfGiantHillStrength_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Barbarian_BoneSpike_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Bhaalist_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Zhentarim_Demonspirit_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Cold_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OB_Paladin_DeathKnight_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Fighter_ActionSurge_AttackBonus_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_DevilsBlackmith_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Thunder_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Stalker_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Illithid_Carapace_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Critical_Force_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_SHA_JusticiarArmor_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Lesser_Infernal_Metal_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Gish_ArcaneAcuity_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfAutomaton_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_FlamingFist_BattleWizardGloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CQCaster_CloseRangedSpellMastery_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Fire_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Magic_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Harpers_JhannylGloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Poison_PoisonExposure_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OpenHand_Radiant_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Banites_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LC_Tinkerer_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_ARM_OfDefense_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Zhentarim_Swap_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BG_OfCrushing_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_ARM_OfMissileSnaring_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfTheBalancedHands_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfTheDuelist_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Martial_Exertion_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BG_Nimblefinger_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Raven_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_MM_Sorcery_SeekingSpell_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfSwordmaster_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BG_Wondrous_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ChargedLightning_AbilityCheckBoost_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_JusticiarArmor_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Paladin_LayOnHandsSupport_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ZOC_AdvantageOnMeleeAttackWhileSurounded_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_DEN_HellridersPride",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Radiant_RadiatingOrb_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Psychic_MentalFatigue_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Mobility_JumpOnDash_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ElementalGish_BaneOnElementalWeaponDamage_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Thunder_Reverberation_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_PLA_ZhentCave_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_DEN_RaidingParty_GoblinCaptain_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UND_Myco_Alchemist_HealerGloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Acid_NoxiousFumes_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Zhentarim_Lockpicking_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Rage_TempHPOnExit_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Fire_HeatOnFireDamage_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Frost_GenerateFrostOnDamage_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_ARM_OfArchery_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_PHB_OfThievery_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_WYR_Circus_ThiefGloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Infernal_Metal_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_FOR_NightWalkers",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Barbarian_BoneSpike_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Githborn_PsionicMovement_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGame_Metal_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_TWN_BootsOfApparentDeath",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CQCaster_ArcaneChargeAfterDash_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Bard_RefreshBardicInspirationSlot_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_TerrainWalkers_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_BootsOfSpeed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Monk_Magic_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Violence_ViolenceOnDash_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_BootsOfDimensionalDoor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Mobility_MomentumOnDash_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ChargedLightning_ElectricSurface_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Evasive_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Acrobat_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Projectile_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Jumping_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OB_Paladin_DeathKnight_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_SHA_DarkJusticiar_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ChargedLightning_Dash_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_DevilsBlackmith_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Gish_TempHPWhileConcentrating_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Gortash_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Healer_TempHPOnHeal_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Thunder_ReverberationOnStatusApply_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Fire_HeatOnInflictBurning_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Frost_IceSurfaceProneImmunity_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UND_Tower_BootsFeatherFall",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_FOR_SpiderstepBoots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_CRE_Hatchery_AcidPoisonImmunity_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_WYR_Circus_TeleportBoots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ElementalGish_MomentumOnElementalDamage_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Paladin_MomentumOnConcentration_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGameCaster_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Radiant_CrusaderMantle_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LC_Nymph_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Critical_HidingCritical_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_PHB_CloakOfDisplacement_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Poison_InflictPoisonHealSelf_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_DarkUrge_Bhaal_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_LC_Umberlee_Protection_Cape",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Fire_BurningOnDamaged_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Shadow_FogOfCloudDisengage_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ElementalGish_AbsorbElements_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_PHB_CloakOfProtection_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Acid_AcidMeleeCounter_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_WYR_Circus_WetCloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Thunder_InflictDazeOnReverberatedCreature_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_CQCaster_TempHPAfterCast_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_TheBulwark_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_MissileProtection_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_BG_OfDevotion_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OB_Paladin_DeathKnight_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Steadfast_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_PHB_Sentinel_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Absolute_Protecter_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_WPN_HUM_Shield_D_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Justiciar_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Ketheric_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_WPN_HUM_Shield_A_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_WPN_HUM_Shield_C_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_MeleeDebuff_AttackDebuff1_OnDamage_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_FlamingFist_Flaming_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OfShielding_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_WoodWoad_Nature_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_GOB_Priest_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Harpers_ShieldsOfShadows",1,0,0,0,0,0,0,0
